Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2170894,"lb2_C1","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782496",SRX1782496,"Gray Camp","Feb 08, 2017"
GSM2170895,"lb2_C8","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782497",SRX1782497,"Gray Camp","Feb 08, 2017"
GSM2170896,"lb2_C9","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782498",SRX1782498,"Gray Camp","Feb 08, 2017"
GSM2170897,"lb2_D10","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782499",SRX1782499,"Gray Camp","Feb 08, 2017"
GSM2170898,"lb2_D11","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782500",SRX1782500,"Gray Camp","Feb 08, 2017"
GSM2170899,"lb2_D12","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782501",SRX1782501,"Gray Camp","Feb 08, 2017"
GSM2170900,"lb2_D3","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782502",SRX1782502,"Gray Camp","Feb 08, 2017"
GSM2170901,"lb2_D6","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782503",SRX1782503,"Gray Camp","Feb 08, 2017"
GSM2170902,"lb2_D7","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782504",SRX1782504,"Gray Camp","Feb 08, 2017"
GSM2170903,"lb2_D8","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782505",SRX1782505,"Gray Camp","Feb 08, 2017"
GSM2170904,"lb2_D9","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782506",SRX1782506,"Gray Camp","Feb 08, 2017"
GSM2170905,"lb2_E10","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782507",SRX1782507,"Gray Camp","Feb 08, 2017"
